time_hr,rainfall_increment_in,DWF_MGD,RDII_short_MGD,RDII_medium_MGD,RDII_long_MGD,RDII_total_MGD,total_flow_MGD,one_pump_required_storage_gal,one_pump_actual_storage_gal,two_pump_firm_required_storage_gal,derated_one_pump_required_storage_gal,derated_one_pump_actual_storage_gal
0.0,0.025,0.8302197802197803,0.0,0.0,0.0,0.0,0.8302197802197803,0.0,0.0,0.0,0.0,0.0
0.25,0.025,0.8302197802197803,0.010427245714285716,0.0008146285714285714,0.00011585828571428571,0.011357732571428572,0.8415775127912088,0.0,0.0,0.0,0.0,0.0
0.5,0.025,0.8302197802197803,0.03128173714285714,0.002443885714285714,0.00034757485714285714,0.03407319771428572,0.864292977934066,0.0,0.0,0.0,0.0,0.0
0.75,0.025,0.8302197802197803,0.06256347428571428,0.004887771428571429,0.0006951497142857143,0.06814639542857144,0.8983661756483518,0.0,0.0,0.0,0.0,0.0
1.0,0.1,0.7774725274725275,0.10427245714285714,0.008146285714285714,0.001158582857142857,0.11357732571428572,0.8910498531868132,0.0,0.0,0.0,0.0,0.0
1.25,0.1,0.7774725274725275,0.17204955428571428,0.014663314285714284,0.002085449142857143,0.18879831771428573,0.9662708451868132,0.0,0.0,0.0,0.0,0.0
1.5,0.1,0.7774725274725275,0.2658947657142858,0.024438857142857144,0.0034757485714285714,0.29380937142857144,1.0712818989010988,0.0,0.0,0.0,0.0,0.0
1.75,0.1,0.7774725274725275,0.3858080914285715,0.03747291428571429,0.005329481142857143,0.42861048685714287,1.2060830143296704,0.0,0.0,0.0,0.0,0.0
2.0,0.225,0.7247252747252748,0.5317895314285715,0.05376548571428571,0.007646646857142856,0.5932016640000001,1.3179269387252748,0.0,0.0,0.0,0.0,0.0
2.25,0.225,0.7247252747252748,0.7090527085714287,0.07738971428571428,0.011006537142857141,0.79744896,1.522174234725275,0.0,0.0,0.0,0.0,0.0
2.5,0.225,0.7247252747252748,0.9175976228571431,0.1083456,0.015409152000000002,1.0413523748571432,1.766077649582418,0.0,0.0,0.0,0.0,0.0
